NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
827,E3042200024114,国際鯨類施設,和歌山県太地町大字太地1770-1,,,,33.581044,135.955507,
828,E3042200022121,太地こども園,和歌山県太地町大字太地1770-14,1,,要配慮者,33.5793183181573,135.952358568042,
829,E3042200022112,太地こども園,和歌山県太地町大字太地1770-14,1,,,33.5793183181573,135.952358568042,
830,E3020600001111,田辺工業高等学校,和歌山県田辺市あけぼの51-1,1,,,33.728981861972,135.39541333455,
831,E3020600003121,特別養護老人ホーム　鮎川園,和歌山県田辺市鮎川1313,,,要配慮者,33.740157197586,135.4998201197,
832,E3020600005111,大塔総合文化会館,和歌山県田辺市鮎川2567-1,1,,,33.729434959932,135.48993438309,
833,E3020600006111,大塔武道館,和歌山県田辺市鮎川2588-2,1,,,33.727690264342,135.48650115267,
834,E3020600008111,大塔ふくしかいかん,和歌山県田辺市鮎川583-9,1,,,33.7292956,135.4836731,
835,E3020600193111,稲成公民館,和歌山県田辺市稲成町2779-3,1,,,33.747096,135.374653,
836,E3020600013111,稲成小学校,和歌山県田辺市稲成町780,1,,,33.7499353,135.3759596,
837,E3020600019111,旧富里小学校,和歌山県田辺市下川下826,1,,,33.74701159,135.5893398,
838,E3020600021111,富里福祉センター,和歌山県田辺市下川下989,1,,,33.7426059,135.5856138,
839,E3020600023111,会津小学校,和歌山県田辺市下万呂59-1,1,,,33.744933509317,135.3958840037,
840,E3020600024111,田辺高等学校,和歌山県田辺市学園1-71,1,,,33.724307593501,135.38918402913,
841,E3020600025111,南紀高等学校,和歌山県田辺市学園1-88,1,,,33.724967123261,135.38919656185,
842,E3020600029111,三川福祉センター,和歌山県田辺市向山354-1,1,,,33.7034493,135.5723387,
843,E3020600033111,高雄中学校,和歌山県田辺市高雄3-20-1,1,,,33.738940837,135.38448033709,
844,E3020600039111,秋津川小学校,和歌山県田辺市秋津川683,1,,,33.7936968,135.4271628,
845,E3020600042111,田辺スポーツパーク体育館,和歌山県田辺市上の山1-23-1-1,1,,,33.740006458928,135.36270038123,
846,E3020600044111,田辺第三小学校,和歌山県田辺市上の山2-6-10,1,,,33.734820717786,135.36873272278,
847,E3020600045111,田辺第一小学校,和歌山県田辺市上屋敷1-2-1,1,,,33.7322755,135.375701,
848,E3020600047111,上秋津農村環境改善センター,和歌山県田辺市上秋津2083-1,1,,,33.7550719,135.4045276,
849,E3020600048111,上秋津小学校,和歌山県田辺市上秋津2196-1,1,,,33.7536494,135.4062946,
850,E3020600049111,上秋津中学校,和歌山県田辺市上秋津2263-2,1,,,33.751516988854,135.40935371229,
851,E3020600187121,介護老人保健施設　あきつの,和歌山県田辺市上秋津2310-9,,,要配慮者,33.749969,135.411794,
852,E3020600050111,上芳養中学校,和歌山県田辺市上芳養1483,1,,,33.810167,135.3758207,
853,E3020600051111,上芳養農村環境改善センター,和歌山県田辺市上芳養3165,1,,,33.801365,135.374042,
854,E3020600052111,上芳養小学校,和歌山県田辺市上芳養3334,1,,,33.8039045,135.3777029,
855,E3020600054111,上野多目的集会所,和歌山県田辺市上野654-3,1,,,33.7674276,135.4686753,
856,E3020600056111,紀南文化会館,和歌山県田辺市新屋敷町1,1,,,33.728153733554,135.37715925999,
857,E3020600195111,田辺市周辺衛生施設組合　清浄館,和歌山県田辺市新庄町1177-3,1,,,33.714314,135.413253,
858,E3020600059111,新庄公民館,和歌山県田辺市新庄町2031-3,1,,,33.717637761487,135.40517409016,
859,E3020600060111,新庄中学校,和歌山県田辺市新庄町2266-2,1,,,33.713936634857,135.40313033948,
860,E3020600061111,新庄小学校,和歌山県田辺市新庄町2300,1,,,33.71438841061,135.40048880181,
861,E3020600064111,新庄第二小学校,和歌山県田辺市新庄町3193,1,,,33.6956406,135.3892912,
862,E3020600065111,和歌山県立情報交流センター（Ｂｉｇ－Ｕ）,和歌山県田辺市新庄町3353-9,1,,,33.6959363,135.3958386,
863,E3020600067111,東陽中学校,和歌山県田辺市神子浜1-4-66,1,,,33.726616096242,135.38757350274,
864,E3020600071111,衣笠中学校,和歌山県田辺市中三栖147-1,1,,,33.737516503208,135.42868060812,
865,E3020600072111,三栖小学校,和歌山県田辺市中三栖2095,1,,,33.7445827,135.4317222,
866,E3020600075111,近野小学校,和歌山県田辺市中辺路町近露1061,1,,,33.816875066446,135.61192791687,
867,E3020600087111,中辺路中学校,和歌山県田辺市中辺路町栗栖川474-1,1,,,33.7932112,135.51633,
868,E3020600089111,中辺路小学校,和歌山県田辺市中辺路町栗栖川78,1,,,33.788049063288,135.50932917064,
869,E3020600097111,うつほの杜学園体育館,和歌山県田辺市中辺路町川合1451,1,,,33.801546,135.523989,
870,E3020600108111,中芳養小学校,和歌山県田辺市中芳養1815,1,,,33.7781253,135.3554355,
871,E3020600109111,中芳養中学校,和歌山県田辺市中芳養273-2,1,,,33.7645269,135.3591967,
872,E3020600110111,万呂コミュニティセンター,和歌山県田辺市中万呂46-3,1,,,33.7377471,135.4008392,
873,E3020600114111,旧長野中学校,和歌山県田辺市長野1401,1,,,33.766690939961,135.44632417902,
874,E3020600115111,長野小学校,和歌山県田辺市長野641,1,,,33.7675131,135.4416239,
875,E3020600116111,西部センター,和歌山県田辺市天神崎11-19,1,,,33.7335882,135.3620184,
876,E3020600119111,田辺第二小学校,和歌山県田辺市東陽21-1,1,,,33.7266292,135.3842863,
877,E3020600121112,田辺東部小学校,和歌山県田辺市南新万28-1,1,,,33.7304365,135.3990446,
878,E3020600121111,ひがしコミュニティセンター,和歌山県田辺市南新万28-1,1,,,33.72994661171,135.39907455838,
879,E3020600122111,旧伏菟野小学校,和歌山県田辺市伏菟野110,1,,,33.7893189,135.4411333,
880,E3020600126111,芳養公民館,和歌山県田辺市芳養松原1-15-8,1,,,33.7475807,135.3543683,
881,E3020600129111,芳養小学校,和歌山県田辺市芳養松原2-18-36,1,,,33.7474511,135.3579006,
882,E3020600130111,田辺市体育センター,和歌山県田辺市芳養町108-4,1,,,33.7511798,135.3381139,
883,E3020600131111,芳養児童センター,和歌山県田辺市芳養町1725-28,1,,,33.7533689,135.3511341,
884,E3020600133111,大坊小学校,和歌山県田辺市芳養町3944,1,,,33.773768,135.376284,
885,E3020600134111,下湯川集会所,和歌山県田辺市本宮町下湯川275-2,1,,,33.8227471,135.7519594,
886,E3020600142111,請川地区地域防災拠点施設,和歌山県田辺市本宮町請川480-5,1,,,33.821671138376,135.79220661753,
887,E3020600145111,三里小学校,和歌山県田辺市本宮町大居1653,1,,,33.861568,135.763903,
888,E3020600146111,三里地区地域防災拠点施設,和歌山県田辺市本宮町大居2055-3,1,,,33.85746409985,135.76570829447,
889,E3020600154111,本宮中学校,和歌山県田辺市本宮町本宮730,1,,,33.837258195515,135.76857033768,
890,E3020600159111,生活介護事業所　ささゆり,和歌山県田辺市木守339,1,,,33.705897,135.6412469,
891,E3020600161111,明洋中学校,和歌山県田辺市目良4-1,1,,,33.734919288844,135.35729730779,
892,E3020600162111,龍神中学校,和歌山県田辺市龍神村安井1048-1,1,,,33.891868815708,135.47664045332,
893,E3020600163111,龍神市民センター,和歌山県田辺市龍神村安井1048-6,1,,,33.891036614739,135.47522260395,
894,E3020600164111,林業者等健康増進センター,和歌山県田辺市龍神村安井822,1,,,33.885915483954,135.47507239966,
895,E3020600167111,甲斐ノ川地域防災センター,和歌山県田辺市龍神村甲斐ノ川311,1,,,33.9120924,135.4440025,
896,E3020600171111,龍神行政局,和歌山県田辺市龍神村西376,1,,,33.8937883,135.4885401,
897,E3020600172111,旧殿原小学校,和歌山県田辺市龍神村殿原400,1,,,33.8964055,135.5290903,
898,E3020600174111,上山路小学校,和歌山県田辺市龍神村東528,1,,,33.892429546308,135.4913930566,
899,E3020600176111,龍神小学校,和歌山県田辺市龍神村湯ノ又68,1,,,33.9355214,135.5542176,
900,E3020600178111,咲楽小学校,和歌山県田辺市龍神村福井1024,1,,,33.8840379,135.4436892,
901,E3020600179111,龍神ドーム,和歌山県田辺市龍神村柳瀬1469-1,1,,,33.8841266662382,135.470853594204,
902,E3020600181121,特別養護老人ホーム　龍トピア,和歌山県田辺市龍神村柳瀬530,,,要配慮者,33.879390378681,135.45449885277,
903,E3020600183111,大熊コミュニティセンター,和歌山県田辺市龍神村龍神484-5,1,,,33.9938935,135.5606304,
904,E3036100001121,なぎ園,和歌山県湯浅町吉川160,,,高齢者,34.04658,135.185249,
905,E3036100003111,吉川公民館,和歌山県湯浅町吉川269,1,,,34.0490403,135.1826646,
906,E3036100005121,ライフケア有田,和歌山県湯浅町吉川52-1,,,高齢者,34.046181,135.192903,
907,E3036100006111,山田公民館,和歌山県湯浅町山田1334-2,1,,,34.0284985,135.206513,
908,E3036100007111,山田小学校体育館,和歌山県湯浅町山田1920,1,,,34.0278847,135.203407,
909,E3036100076121,学童クラブそよ風,和歌山県湯浅町山田26-2,,,,34.030349,135.196223,
910,E3036100074121,地域福祉センター,和歌山県湯浅町栖原126,,,高齢者、身体障がい者,34.043201,135.183796,
911,E3036100009111,田栖川小学校体育館,和歌山県湯浅町栖原1384,1,,,34.0441973,135.165005,
912,E3036100012121,つくし共同作業所,和歌山県湯浅町栖原187-1,,,知的障がい者 発達障がい者,34.043817,135.181902,
913,E3036100015111,栖原区民センター,和歌山県湯浅町栖原333-1,,,,34.042238,135.170706,
914,E3036100016111,湯浅町一気通貫産直加工流域加速化センター,和歌山県湯浅町栖原333-2,,,,34.042399,135.170521,
915,E3036100019111,横田文化会館,和歌山県湯浅町栖原6,1,,,34.0429168,135.1932881,
916,E3036100023111,ゆあさこども園,和歌山県湯浅町青木275-1,1,,,34.033054,135.190514,
917,E3036100026111,湯浅町役場庁舎,和歌山県湯浅町青木668-1,1,,,34.0297695,135.190399,
918,E3036100029121,平安のまち,和歌山県湯浅町青木826-1,,,高齢者,34.02882,135.188195,
919,E3036100033111,田体育館,和歌山県湯浅町田369-5,1,,,34.054988,135.1515248,
920,E3036100035111,たむらこども園,和歌山県湯浅町田558-6,1,,,34.0563456,135.156267,
